varname,varlabel
country ,This is a combined variable of both country and year
year,Year
cntry,Country Code
y1 ,Unique identifier for each observation 
y2 ,Interviewer’s Unique Number 
y2_07 ,2007: Strata 1 - Okrug
y3 ,Sampling unit
y3_1,Populated Area
y3_07,2007: Strata 2 – Oblast
y4,Secondary sampling unit
y5 ,Region 
y5a ,County 
y5b  ,Type of settlement (urban/rural)
y5c ,Settlement size
y6 ,Date of interview
y7_07 ,Start time of interview
y8_07 ,End time of interview 
y7 ,Duration of interview
y7m,Month [number] of interview
y7d ,Day [number] of interview
y8 ,Number of callbacks
y9,Language of interview
case_id_07,Unique identifier for each observation in 2007 data
case_id,Unique identifier for each observation in 1993-2007 data
v1,Support for Democracy
v2,Evaluation of Democracy 
v3,Support for Market Economy
v4,Evaluation of Market Economy
v5,Democracy: ordinary people
v5_1,Problems: 1 important
v6 ,Democracy: foreign practice
v6_1,Problems: 2 important
v7 ,Democracy is a good means of solving social conflicts.
v8,Democracy for the Rich
v9,Market economy: too much freedom
v10,Market improves Standard of Living
v11,Market economy: good example to follow
v12,Market Economy and Conflict
v13,Privatisation: for the rich
v14,Privatisation: for the ordinary people
v15,Privatisation: social division
v16 ,Meritocracy: best promoted
v17 ,Meritocracy: criminals
v18,Meritocracy: get rich by hard work
v19,Meritocracy: all equal
v21,Meritocracy: earn more
v23,Meritocracy: vote matters
v24,Meritocracy: wages
v28,Meritocracy: force for order
v29,Meritocracy: lazy
v29_1,Meritocracy: speak freely
v471,Corruption: Politicians
v472,Corruption: Public Officials
v20 ,Government for the benefit of the majority of the society.  
v22 ,"Bribery, corruption, and ""knowing the right people"" are not important "
v25 ,Pensions and relief are large enough 
v26,Freedom of organisation and speech.  
v27 ,Economic differences are not too big.  
v30,Good society/freedom of organisation
v31,Good society/freedom of speech
v32,Good society/protection of majority
v33,Good society/protection of authorities
v33_1,Good society: freedom within the limits of morality
v34,Good society/centralised economy
v35,Good society/market economy
v36,Good society/full employment
v37,Good society/income differentiation
v38,Good society/privacy
v39,Good society/protection of minorities 
v39_1,Good society: protection of minorities
v39_2 ,Good society/protection of minorities in russia
v40 ,Human nature to cooperate 
v41 ,Most people can be trusted.  
v42,"If someone is in serious trouble, no one else cares about it  "
v43,Other people will take advantage of you. 
v44,Cooperates in his or her own interest 
v45,Human nature: help
v46,Government: job
v47,Government: health care
v48,Government: old people
v49,Government: unemployed
v50,Government: housing
v413,Government: Childcare
v473 ,Social Inequality
v51 ,Large differences in pay are necessary
v124 ,Differences in income in this country are too large.
v52,Past Vote
v53,Reason no vote
v54,Party Vote 
v57,Party Supporter
v58,Party Supported
v59,Strength of Party Support
v55,First reason
v56,Second Reason 
v60,Future Vote
v61,First reason
v62,Second reason
v63,Vote
v64,Reason no vote
v65,Who voted for 
v66,First reason
v67,Second reason
v68,Future Vote
v69,First reason
v70,Second reason
v63_11,Past vote
v63_12,Reason of no vote
v63_13,Name voted 
v63_14,First Reason
v63_15,Second Reason 
v400,Past vote 
v401,Reason of no vote
v402,Name of president voted
v403,First Reason
v404,Second Reason
v63_1,Vote
v63_2,Reason no vote
v63_3,Referendum/vote
v63_4,Referendum/second chance
v64_1,Trust to president 
v65_1,Approval of socioeconomic politics 
v66_1,Holding of the preschedule president elections
v67_1,Holding of the preschedule parliamentary election
v71,Business Association (chamber of industry/trade)
v72 ,Professional Association 
v73 ,Trade Union
v74 ,Farmers' Association
v75 ,Church or religious group
v76 ,Local/community group
v77 ,Sports or social club
v78 ,Armed forces association
v79 ,Political Party
v80 ,Ethnic organization
v81 ,Factory committee
v81_1,Civic organizations
v81_2,Neighborhood watch
v81_3,Other
v82 ,Most active
v83 ,How active
v84 ,Communist party member
v85 ,network/1. relationship
v86 ,network/2. relationship
v87 ,network/1. freq see each other
