"stdliv_next5","stdliv_next5_di","stdliv_past5","stdliv_past5_di","cat_age","wave","female","education","EGP6","income","pensions","unemployed","car_owner","cntry","y1"
1,1,1,1,3,1993,0,3,"5",1,1,0,0,"belarus",663
3,3,3,3,1,1993,0,2,"4",2,0,0,0,"belarus",141
2,1,1,1,3,1993,1,3,"4",1,1,0,0,"belarus",521
1,1,1,1,2,1993,0,3,"1",1,0,0,1,"belarus",922
4,2,4,2,4,1993,0,3,"1",3,0,0,0,"belarus",1142
3,3,4,2,2,1993,1,2,"2",3,0,0,0,"belarus",259
4,2,1,1,3,1993,1,3,"1",1,0,0,1,"belarus",475
2,1,1,1,1,1993,1,3,"4",1,0,0,0,"belarus",994
2,1,1,1,1,1993,1,3,"1",1,0,0,0,"belarus",867
3,3,3,3,3,1993,1,3,"1",3,1,0,1,"belarus",1256
1,1,2,1,2,1993,0,2,"5",3,0,0,0,"belarus",673
4,2,1,1,2,1993,0,2,"5",3,0,0,0,"belarus",276
3,3,1,1,1,1993,0,2,"1",1,0,0,0,"belarus",883
3,3,3,3,1,1993,0,2,"4",3,0,0,0,"belarus",79
1,1,1,1,2,1993,0,3,"1",1,0,0,1,"belarus",1026
3,3,1,1,2,1993,1,3,"6",2,0,0,0,"belarus",212
1,1,1,1,2,1993,1,3,"1",1,0,0,0,"belarus",724
2,1,2,1,3,1993,0,3,"1",3,0,0,1,"belarus",1255
3,3,2,1,3,1993,0,3,"1",3,0,0,0,"belarus",1275
1,1,2,1,2,1993,1,3,"2",2,0,0,1,"belarus",180
4,2,2,1,3,1993,0,3,"4",2,0,0,0,"belarus",1412
1,1,1,1,2,1993,1,3,"1",1,0,0,0,"belarus",822
3,3,1,1,2,1993,0,2,"5",1,0,0,0,"belarus",751
3,3,4,2,1,1993,0,3,"3",3,0,0,0,"belarus",1415
3,3,3,3,1,1993,1,3,"2",3,0,0,1,"belarus",712
3,3,1,1,3,1993,1,2,"5",1,0,0,0,"belarus",693
1,1,1,1,3,1993,0,2,"6",1,0,0,1,"belarus",869
4,2,2,1,2,1993,1,2,"5",1,0,0,1,"belarus",143
5,2,4,2,1,1993,1,2,"4",1,0,0,0,"belarus",642
1,1,1,1,2,1993,0,3,"4",1,0,0,0,"belarus",125
2,1,2,1,4,1993,0,1,"4",1,1,0,0,"belarus",638
1,1,1,1,4,1993,1,3,"1",1,1,0,0,"belarus",319
3,3,3,3,2,1993,1,3,"5",1,0,0,0,"belarus",735
4,2,3,3,1,1993,1,3,"1",3,0,0,0,"belarus",53
1,1,1,1,1,1993,0,2,"3",1,0,1,0,"belarus",1252
3,3,1,1,3,1993,0,3,"1",1,0,0,0,"belarus",241
2,1,1,1,1,1993,1,3,"1",2,0,0,0,"belarus",993
3,3,4,2,2,1993,0,2,"4",1,0,0,0,"belarus",854
2,1,3,3,2,1993,0,2,"4",2,0,0,1,"belarus",882
3,3,2,1,2,1993,0,2,"6",2,0,0,1,"belarus",887
4,2,1,1,4,1993,1,3,"4",2,1,0,1,"belarus",190
3,3,2,1,1,1993,1,3,"5",1,0,0,0,"belarus",699
5,2,4,2,1,1993,1,3,"1",3,0,0,1,"belarus",966
3,3,1,1,1,1993,1,3,"1",1,0,0,0,"belarus",1270
4,2,2,1,4,1993,0,3,"4",2,1,0,0,"belarus",916
3,3,4,2,3,1993,0,1,"6",2,0,0,0,"belarus",940
3,3,4,2,4,1993,1,2,"1",1,1,0,0,"belarus",148
4,2,1,1,2,1993,1,2,"2",1,0,0,0,"belarus",1076
3,3,1,1,2,1993,1,3,"1",1,0,0,0,"belarus",442
4,2,1,1,2,1993,0,3,"1",2,0,0,1,"belarus",866
1,1,1,1,3,1993,0,2,"5",1,0,0,0,"belarus",338
3,3,2,1,1,1993,0,3,"1",1,0,0,0,"belarus",738
3,3,2,1,2,1993,1,2,"6",1,0,0,0,"belarus",1190
3,3,3,3,1,1993,1,2,"2",3,0,0,0,"belarus",94
4,2,2,1,1,1993,0,2,"7",3,0,1,1,"belarus",1129
1,1,2,1,2,1993,0,3,"1",2,0,0,1,"belarus",184
3,3,2,1,3,1993,1,3,"4",1,0,0,1,"belarus",483
3,3,1,1,1,1993,0,1,"5",1,0,1,0,"belarus",441
1,1,1,1,1,1993,0,1,"4",1,0,0,0,"belarus",4
4,2,3,3,1,1993,0,2,"4",3,0,0,0,"belarus",569
3,3,1,1,4,1993,1,1,"6",1,1,0,0,"belarus",271
1,1,3,3,3,1993,0,3,"4",3,0,0,1,"belarus",80
3,3,1,1,4,1993,0,3,"4",3,1,0,1,"belarus",23
3,3,1,1,3,1993,1,3,"1",1,0,0,0,"belarus",163
3,3,3,3,2,1993,1,3,"1",2,0,0,1,"belarus",802
2,1,2,1,3,1993,0,3,"4",3,0,0,0,"belarus",174
4,2,4,2,2,1993,1,3,"1",3,0,0,1,"belarus",960
1,1,1,1,4,1993,0,2,"4",2,1,0,0,"belarus",540
3,3,1,1,2,1993,1,2,"4",1,0,0,0,"belarus",707
1,1,1,1,2,1993,0,3,"4",1,0,0,0,"belarus",207
4,2,3,3,3,1993,0,2,"3",1,0,0,0,"belarus",844
3,3,3,3,2,1993,0,3,"3",3,0,1,0,"belarus",1121
3,3,2,1,2,1993,1,2,"5",2,0,0,0,"belarus",1261
2,1,1,1,2,1993,0,3,"1",2,0,0,0,"belarus",1072
4,2,3,3,2,1993,1,3,"2",2,0,0,1,"belarus",113
1,1,1,1,3,1993,0,3,"2",1,0,0,1,"belarus",197
1,1,2,1,3,1993,1,3,"1",1,0,0,0,"belarus",208
1,1,1,1,3,1993,0,1,"6",1,0,0,0,"belarus",710
4,2,2,1,2,1993,0,2,"4",3,0,0,1,"belarus",1100
3,3,2,1,4,1993,0,3,"1",1,1,0,1,"belarus",1272
1,1,2,1,2,1993,1,3,"1",1,0,0,0,"belarus",967
4,2,1,1,3,1993,1,3,"4",1,0,0,0,"belarus",602
2,1,4,2,1,1993,1,3,"1",1,0,0,1,"belarus",1040
3,3,1,1,2,1993,1,2,"6",3,0,0,0,"belarus",428
3,3,1,1,4,1993,1,1,"6",1,1,0,0,"belarus",320
3,3,4,2,1,1993,0,3,"2",3,0,0,0,"belarus",171
5,2,2,1,2,1993,0,3,"1",3,0,0,1,"belarus",447
1,1,1,1,3,1993,0,1,"4",1,0,0,0,"belarus",432
3,3,3,3,1,1993,1,3,"4",2,0,0,0,"belarus",568
